ozone x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39 x40 x41 x42 x43 x44 x45 x46 x47 x48 x49 x50 x51 x52 x53 x54 x55 x56 x57 x58 x59 x60 x61 x62 x63 x64 x65 x66 x67 x68 x69 x70 x71 x72 x73 x74 x75 x76 x77 x78 x79 x80 x81 x82 x83 x84 x85 x86 x87 x88 x89 x90 x91 x92 x93 x94 x95 x96 x97 x98 x99 x100 x101 x102 x103 x104 x105 x106 x107 x108 x109 x110 x111 x112 x113 x114 x115 x116 x117 x118 x119 x120 x121 x122 x123 x124 x125 x126 x127 x128 x129 x130 x131 x132 x133 x134
5 0 0 0 0 0 0 0.558673469387755 0.290352504638219 0.0259740259740260 0 0 0 0 0 0 0 0 0 0 0.0686274509803922 0.796757164404223 0.134615384615385 0 0 0.16 0.54 0.3 0 0 0 0.0602743484224966 0.449815576893766 0.484437699235002 0.00547237544873479 0 0 0.0278589993502274 0.419563207225297 0.550545372241769 0.00203242118270653 0 0 0.212937157322639 0.554137705812803 0.225312164853685 0 0 0 0.0537252718997694 0.669359359943602 0 0.0365413533834586 0.699504313760536 0.262222228323749 0.00173210453225603 0 0.00569965271086786 0.291009778776995 0.67786998224366 0.0254205862684771 0 0 0.16 0.6 0.24 0 0 0 5 1 5760 3 51 54 45.32 1450 25 57.02 60 5 28800 15 255 270 226.6 7250 125 285.1 300 5760 3 51 54 45.32 1450 25 57.02 60 17280 293760 311040 261043.2 8352000 144000 328435.2 345600 153 162 135.96 4350 75 171.06 180 2754 2311.32 73950 1275 2908.02 3060 2447.28 78300 1350 3079.08 3240 65714 1133 2584.1464 2719.2 36250 82679 87000 1425.5 1500 3421.2
6 0 0 0 0 0 0 0.496851084183673 0.399684021335807 0.0507305194805195 0 0 0 0.25 0.583333333333333 0.166666666666667 0 0 0 0.00472255017709563 0.231899371318775 0.752781532193297 0.0105965463108320 0 0 0.02 0.324444444444444 0.634722222222222 0.0208333333333333 0 0 0 0.00487730528882792 0.489070624870075 0.48953733870092 0.0165147311401770 0 0.512819970616228 0.223005495524985 0.0227873484641327 0 0 0 0.05640625 0.508897488317757 0.434696261682243 0 0 0 0.0289327143411052 0.637675250288236 0.000111474435196195 0.137044454179444 0.75233859799113 0.110505473394229 0 0 0.0342578675333907 0.443311541596871 0.520301865017666 0.00212872585207218 0 0 0.16 0.6 0.24 0 0 0 6 2 5720 4 69 35 49.64 1568 15 53.78 60 12 34320 24 414 210 297.84 9408 90 322.68 360 11440 8 138 70 99.28 3136 30 107.56 120 22880 394680 200200 283940.8 8968960 85800 307621.6 343200 276 140 198.56 6272 60 215.12 240 2415 3425.16 108192 1035 3710.82 4140 1737.4 54880 525 1882.3 2100 77835.52 744.6 2669.6392 2978.4 23520 84327.04 94080 806.7 900 3226.8
4 0 0 0 0 0 0 0.398915816326531 0.497796846011132 0.0876623376623376 0 0 0 0 0.166666666666667 0.666666666666667 0.166666666666667 0 0 0 0.0128051220488195 0.623731273886073 0.352778997812635 0.0106846062524733 0 0 0 0.520833333333333 0.451388888888889 0.0277777777777778 0 0 0 0 0 0 0 0.276761734788607 0.526182328979755 0.182298787713062 0 0 0 0.167003273401738 0.56050355773119 0.269281446299985 0 0 0 0 0.225675036205301 0.435590316347306 0.436125768081232 0.0870577698163905 0 0 0 0.0293718391764408 0.428025366061242 0.539425221478758 0.00317757328355964 0 0 0 0.185185185185185 0.753512132822478 0.0613026819923372 0 0 7 3 5790 6 19 45 46.4 2631 -33 54.14 100 21 40530 42 133 315 324.8 18417 -231 378.98 700 17370 18 57 135 139.2 7893 -99 162.42 300 34740 110010 260550 268656 15233490 -191070 313470.6 579000 114 270 278.4 15786 -198 324.84 600 855 881.6 49989 -627 1028.66 1900 2088 118395 -1485 2436.3 4500 122078.4 -1531.2 2512.096 4640 -86823 142442.34 263100 -1786.62 -3300 5414
4 0 0 0 0 0 0 0.287109375 0.571732954545455 0.139204545454545 0 0 0 0 0 0.166666666666667 0.583333333333333 0.25 0 0 0.0128051220488195 0.623731273886073 0.352778997812635 0.0106846062524733 0 0.16 0.54 0.3 0 0 0 0.451138545953361 0.0750617283950617 0.00329218106995885 0 0 0 0.0175438596491228 0.375931467464648 0.600947709160882 0.00557696372534673 0 0 0.00951994243421049 0.35908813969971 0.623712571603059 0.00767934626302037 0 0 0.640587147844934 0.275749590330435 0.35702949761766 0.497874490149109 0.128603149723839 0 0 0 0 0.0272038593710525 0.664414249119107 0.302197068068819 0.00618482344102183 0 0 0 0.0689655172413793 0.351034482758621 0.455 0.125 8 4 5790 3 25 55 52.7 554 -28 64.76 250 32 46320 24 200 440 421.6 4432 -224 518.08 2000 23160 12 100 220 210.8 2216 -112 259.04 1000 17370 144750 318450 305133 3207660 -162120 374960.4 1447500 75 165 158.1 1662 -84 194.28 750 1375 1317.5 13850 -700 1619 6250 2898.5 30470 -1540 3561.8 13750 29195.8 -1475.6 3412.852 13175 -15512 35877.04 138500 -1813.28 -7000 16190
6 0 0 0 0 0 0 0.183673469387755 0.608534322820037 0.207792207792208 0 0 0 0 0 0 0 0 1 0.0159386068476978 0.323451694727478 0.660217233746645 0.000392464678178964 0 0 0.16 0.54 0.3 0 0 0 0 0 0.293470286133529 0.610215801856959 0.0963139120095125 0 0.414045665503804 0.430411641745811 0.0933369793090876 0 0 0 0.105035565425217 0.549147531457053 0.345415437796844 0 0 0 0 0.421305982400182 0 0.050125313283208 0.722123816366061 0.227119636920608 0.00063123343012246 0 0.0555742903268628 0.490987767222531 0.453171851719097 0.000266090731509025 0 0 0 0.04 0.769103448275862 0.188336551724138 0.00256 0 9 5 5700 3 73 41 48.02 2083 23 52.52 120 45 51300 27 657 369 432.18 18747 207 472.68 1080 28500 15 365 205 240.1 10415 115 262.6 600 17100 416100 233700 273714 11873100 131100 299364 684000 219 123 144.06 6249 69 157.56 360 2993 3505.46 152059 1679 3833.96 8760 1968.82 85403 943 2153.32 4920 100025.66 1104.46 2522.0104 5762.4 47909 109399.16 249960 1207.96 2760 6302.4
6 0 0 0 0 0 0 0.0229591836734694 0.477040816326531 0.48538961038961 0.0146103896103896 0 0 0 0 0 0 0 0 0.00472255017709563 0.231899371318775 0.752781532193297 0.0105965463108320 0 0 0.16 0.54 0.3 0 0 0 0.218462632728751 0.542981252857796 0.238149672306051 0 0 0 0.0811961187282202 0.518286727711919 0.400510436605597 0 0 0 0.00177631578947368 0.26337905536902 0.707372170075204 0.0274724587663028 0 0 0 0 0.00300980975029727 0.232781716479069 0.709080338349436 0.0551281354211976 0 0 0 0.0550299523461805 0.725464087415057 0.218351940704578 0.00115401953418483 0 0 0 0.551724137931034 0.408275862068966 0.04 0 12 1 5720 3 44 51 54.32 111 9 63.14 150 12 68640 36 528 612 651.84 1332 108 757.68 1800 5720 3 44 51 54.32 111 9 63.14 150 17160 251680 291720 310710.4 634920 51480 361160.8 858000 132 153 162.96 333 27 189.42 450 2244 2390.08 4884 396 2778.16 6600 2770.32 5661 459 3220.14 7650 6029.52 488.88 3429.7648 8148 999 7008.54 16650 568.26 1350 9471
5 0 0 0 0 0 0 0.00680272108843537 0.387136672850959 0.571428571428571 0.0346320346320346 0 0 0.25 0.583333333333333 0.166666666666667 0 0 0 0 0.0686274509803922 0.796757164404223 0.134615384615385 0 0 0 0 0.520833333333333 0.451388888888889 0.0277777777777778 0 0.538263476096124 0.308294467306813 0.0418228928516994 0 0 0 0.0811961187282202 0.518286727711919 0.400510436605597 0 0 0 0 0.104022754977651 0.763554931588901 0.132232063730713 0.000190249702734842 0 0.653206728218058 0.216193780219093 0.542771093964577 0.265789438074867 0.0291554709658158 0 0 0 0 0.0296754902944708 0.67228683636652 0.292694990310375 0.00534268302863345 0 0.447407407407407 0.444444444444444 0.0711111111111111 0 0 0 13 2 5760 6 33 51 57.56 492 -44 64.58 40 26 74880 78 429 663 748.28 6396 -572 839.54 520 11520 12 66 102 115.12 984 -88 129.16 80 34560 190080 293760 331545.6 2833920 -253440 371980.8 230400 198 306 345.36 2952 -264 387.48 240 1683 1899.48 16236 -1452 2131.14 1320 2935.56 25092 -2244 3293.58 2040 28319.52 -2532.64 3717.2248 2302.4 -21648 31773.36 19680 -2841.52 -1760 2583.2
4 0 0 0 0 0 0 0.000850340136054422 0.29352195423624 0.637987012987013 0.0676406926406926 0 0 0 0.166666666666667 0.666666666666667 0.166666666666667 0 0 0 0.0250100040016006 0.697476156454485 0.274348030283923 0.00316580925999209 0 0 0 0.520833333333333 0.451388888888889 0.0277777777777778 0 0 0 0 0 0 0 0.0278589993502274 0.419563207225297 0.550545372241769 0.00203242118270653 0 0 8.22368421052628e-06 0.165151692053936 0.761913648428864 0.0729264358329894 0 0 0 0 0.542771093964577 0.265789438074867 0.0291554709658158 0 0 0 0.00940806687135743 0.326606983978261 0.646955142333804 0.0170298068165774 0 0 0 0 0.232758620689655 0.509741379310345 0.241875 0.015625 14 3 5780 6 19 54 56.12 5000 -44 56.3 200 42 80920 84 266 756 785.68 70000 -616 788.2 2800 17340 18 57 162 168.36 15000 -132 168.9 600 34680 109820 312120 324373.6 28900000 -254320 325414 1156000 114 324 336.72 30000 -264 337.8 1200 1026 1066.28 95000 -836 1069.7 3800 3030.48 270000 -2376 3040.2 10800 280600 -2469.28 3159.556 11224 -220000 281500 1e+06 -2477.2 -8800 11260
4 0 0 0 0 0 0 0 0.207792207792208 0.675324675324675 0.116883116883117 0 0 0 0 0.166666666666667 0.583333333333333 0.25 0 0 0 0.291497975708502 0.572767952269337 0.135734072022161 0 0.16 0.54 0.3 0 0 0 0 0 0 0 0 0 0.00219298245614035 0.234839816933638 0.727245365902971 0.0357218347072501 0 0 0 0.0100155010760456 0.563982381585538 0.397140532805013 0.0288615845334039 0 0.122875597867761 0.68989405279685 0.508363456103671 0.127455670718021 0.00764293178086281 0 0 0 0 0 0.143851214511240 0.517501986924607 0.323858669338008 0.0147881292261457 0 0 0.0689655172413793 0.351034482758621 0.455 0.125 15 4 5830 3 19 58 62.24 1249 -53 75.74 250 60 87450 45 285 870 933.6 18735 -795 1136.1 3750 23320 12 76 232 248.96 4996 -212 302.96 1000 17490 110770 338140 362859.2 7281670 -308990 441564.2 1457500 57 174 186.72 3747 -159 227.22 750 1102 1182.56 23731 -1007 1439.06 4750 3609.92 72442 -3074 4392.92 14500 77737.76 -3298.72 4714.0576 15560 -66197 94599.26 312250 -4014.22 -13250 18935
7 0 0 0 0 0 0 0 0.139204545454545 0.676491477272727 0.183815696022727 0.00048828125 0 0 0 0 0 0 1 0 0 0.0863697705802969 0.450410777280583 0.426182415102083 0.0370370370370370 0.447407407407407 0.426666666666667 0.0888888888888889 0 0 0 0 0 0 0 0 0 0 0.111482720178372 0.776994264684155 0.111523015137473 0 0 0 0.000322625551191179 0.38869704949289 0.5195345152937 0.0914458096622187 0 0 0 0.102713829264630 0.00244329422364229 1.49276011344977e-05 0 0 0 0 0.0186877723137192 0.630709533429628 0.340167766466353 0.0104349277902997 0 0 0 0.232758620689655 0.509741379310345 0.241875 0.015625 16 5 5870 2 19 61 64.94 5000 -67 65.48 200 80 93920 32 304 976 1039.04 80000 -1072 1047.68 3200 29350 10 95 305 324.7 25000 -335 327.4 1000 11740 111530 358070 381197.8 29350000 -393290 384367.6 1174000 38 122 129.88 10000 -134 130.96 400 1159 1233.86 95000 -1273 1244.12 3800 3961.34 305000 -4087 3994.28 12200 324700 -4350.98 4252.2712 12988 -335000 327400 1e+06 -4387.16 -13400 13096
4 0 0 0 0 0 0 0 0.0259740259740260 0.516233766233766 0.426542207792208 0.03125 0 0 0 0 0 0 0 0.0376563077937671 0.400393035166846 0.561930914872091 0 0 0 0 0.0555555555555556 0.777777777777778 0.166666666666667 0 0 0 0 0.293470286133529 0.610215801856959 0.0963139120095125 0 0.0592105263157895 0.492291556650824 0.448481657663925 1.62593694616523e-05 0 0 0 0.148110524177164 0.766120884708557 0.0857685911142788 0 0 0.620160913178519 0.129134717257958 0.0529389721747501 0.000618891401779738 1.86595014181221e-06 0 0 0 0 0.000149502178509753 0.39221600973914 0.529064323627888 0.078570164454462 0 0.375740740740741 0.0444444444444444 0.00111111111111111 0 0 0 19 1 5680 5 73 52 56.48 393 -68 69.8 10 19 107920 95 1387 988 1073.12 7467 -1292 1326.2 190 5680 5 73 52 56.48 393 -68 69.8 10 28400 414640 295360 320806.4 2232240 -386240 396464 56800 365 260 282.4 1965 -340 349 50 3796 4123.04 28689 -4964 5095.4 730 2936.96 20436 -3536 3629.6 520 22196.64 -3840.64 3942.304 564.8 -26724 27431.4 3930 -4746.4 -680 698
4 0 0 0 0 0 0 0 0.00324675324675325 0.342938311688312 0.548346185064935 0.10546875 0 0 0.166666666666667 0.666666666666667 0.166666666666667 0 0 0 0.0686274509803922 0.796757164404223 0.134615384615385 0 0 0.16 0.54 0.3 0 0 0 0 0 0 0 0 0 0.0278589993502274 0.419563207225297 0.550545372241769 0.00203242118270653 0 0 0.00421052631578946 0.305939391347120 0.673206549056276 0.0166435332808143 0 0 0 0 0.420392654247589 0.0651237661136591 0.00248357963875205 0 0 0 0.0669098975261538 0.508051232427021 0.42498922046427 4.9649582555619e-05 0 0 0 0 0.0689655172413793 0.351034482758621 0.455 0.125 21 3 5760 3 19 54 53.6 5000 -58 51.98 250 63 120960 63 399 1134 1125.6 105000 -1218 1091.58 5250 17280 9 57 162 160.8 15000 -174 155.94 750 17280 109440 311040 308736 28800000 -334080 299404.8 1440000 57 162 160.8 15000 -174 155.94 750 1026 1018.4 95000 -1102 987.62 4750 2894.4 270000 -3132 2806.92 13500 268000 -3108.8 2786.128 13400 -290000 259900 1250000 -3014.84 -14500 12995
4 0 0 0 0 0 0 0 0.000405844155844156 0.257355925324675 0.57475776176948 0.16748046875 0 0 0 0.166666666666667 0.583333333333333 0.25 0 0.00199232585596222 0.185564515062223 0.78732541967836 0.0251177394034537 0 0 0.02 0.324444444444444 0.634722222222222 0.0208333333333333 0 0 0.489299395417365 0.0990306355738454 0.00522786160646243 0 0 0 0.00219298245614035 0.234839816933638 0.727245365902971 0.0357218347072501 0 0 0.00951994243421049 0.35908813969971 0.623712571603059 0.00767934626302037 0 0 0 0 0.323460298884125 0.517797427383148 0.148356097925063 0 0 0 0.0669098975261538 0.508051232427021 0.42498922046427 4.9649582555619e-05 0 0 0 0 0.232758620689655 0.509741379310345 0.241875 0.015625 22 4 5730 4 26 58 52.7 5000 -26 51.98 200 88 126060 88 572 1276 1159.4 110000 -572 1143.56 4400 22920 16 104 232 210.8 20000 -104 207.92 800 22920 148980 332340 301971 28650000 -148980 297845.4 1146000 104 232 210.8 20000 -104 207.92 800 1508 1370.2 130000 -676 1351.48 5200 3056.6 290000 -1508 3014.84 11600 263500 -1370.2 2739.346 10540 -130000 259900 1e+06 -1351.48 -5200 10396
5 0 0 0 0 0 0 0 0 0.181818181818182 0.568181818181818 0.25 0 0 0 0 0 0 1 0.0159386068476978 0.323451694727478 0.660217233746645 0.000392464678178964 0 0 0 0.0555555555555556 0.777777777777778 0.166666666666667 0 0 0.00342935528120713 0.188538332571254 0.711849841260576 0.0961824708869626 0 0 0 0.000891861761426979 0.470408725201811 0.478699413036762 0.05 0 0.0277549342105263 0.447505176142561 0.52393959954175 0.000800290105163118 0 0 0 0.127026663205549 0 0.0979010025062657 0.753628648066447 0.148470349427287 0 0 0.048777315296566 0.478406388296164 0.472250756630973 0.000565539776297604 0 0 0 0 0.551724137931034 0.408275862068966 0.04 0 23 5 5700 5 59 69 51.08 3044 18 52.88 150 115 131100 115 1357 1587 1174.84 70012 414 1216.24 3450 28500 25 295 345 255.4 15220 90 264.4 750 28500 336300 393300 291156 17350800 102600 301416 855000 295 345 255.4 15220 90 264.4 750 4071 3013.72 179596 1062 3119.92 8850 3524.52 210036 1242 3648.72 10350 155487.52 919.44 2701.1104 7662 54792 160966.72 456600 951.84 2700 7932
